,pc,pp
0,18540,20279
1,69534,18187
2,144948,17428
3,126789,17228
4,201886,17019
5,101921,17004
6,74399,16954
7,168293,16800
8,105644,16658
9,130258,16565
10,251734,16500
11,291521,16476
12,66534,16327
13,156001,16323
14,196506,16258
15,99412,16231
16,101895,16222
17,196362,16104
18,130895,15848
19,166119,15842
20,68500,15683
21,223676,15667
22,167971,15611
23,136519,15604
24,118555,15600
25,91910,15436
26,90805,15429
27,132414,15304
28,201877,15271
29,211463,15249
30,143959,15215
31,231956,15197
32,114935,15197
33,173634,15152
34,139247,15149
35,123823,15118
36,62423,15106
37,145435,15081
38,165104,15069
39,61962,15023
40,178766,15000
41,29563,14938
42,94576,14937
43,106609,14937
44,121960,14936
45,94598,14905
46,113685,14876
47,146609,14798
48,202806,14767
49,156487,14754
50,139940,14713
51,81349,14616
52,95304,14548
53,124711,14403
54,151027,14401
55,130944,14379
56,128959,14377
57,204172,14371
58,111791,14368
59,209297,14345
60,95297,14337
61,95888,14318
62,105354,14317
63,175941,14242
64,90018,14211
65,79504,14104
66,132605,14082
67,100975,14081
68,138334,14077
69,90816,14069
70,146013,13990
71,141540,13944
72,137849,13940
73,85861,13907
74,113361,13884
75,189025,13871
76,178006,13865
77,113476,13848
78,61270,13835
79,123368,13831
80,94970,13828
81,120330,13782
82,154948,13775
83,18126,13750
84,93709,13735
85,102809,13733
86,46578,13691
87,90333,13655
88,94684,13634
89,177121,13627
90,104217,13627
91,102761,13624
92,154541,13603
93,205038,13586
94,74046,13578
95,95430,13574
96,124366,13562
97,219276,13547
98,130062,13540
99,92930,13532
100,120644,13483
101,89749,13480
102,96710,13451
103,118405,13449
104,167454,13447
105,154530,13394
106,119235,13387
107,84092,13375
108,92829,13372
109,138232,13333
110,131278,13317
111,78582,13303
112,43485,13302
113,78733,13294
114,64646,13291
115,89240,13278
116,96867,13270
117,132198,13270
118,107797,13230
119,175967,13206
120,60809,13206
121,76801,13197
122,138505,13196
123,115168,13193
124,53423,13177
125,113974,13168
126,56233,13166
127,106350,13156
128,18586,13156
129,301755,13155
130,59632,13151
131,112508,13145
132,267670,13138
133,168062,13122
134,87262,13121
135,411093,13099
136,130098,13073
137,79818,13066
138,150999,13053
139,80534,13049
140,187334,13047
141,147576,13043
142,97894,13039
143,116737,13012
144,181901,13010
145,47760,13000
146,139290,12948
147,95343,12946
148,153251,12922
149,148237,12919
150,59893,12918
151,261322,12915
152,289380,12908
153,78708,12904
154,78389,12866
155,99679,12850
156,377675,12846
157,80733,12843
158,232024,12834
159,272752,12829
160,133536,12826
161,100439,12818
162,118740,12810
163,164917,12805
164,87686,12802
165,93815,12802
166,184451,12801
167,104436,12801
168,70609,12770
169,76298,12761
170,116540,12760
171,79365,12752
172,100396,12733
173,127609,12719
174,140406,12713
175,158742,12703
176,107407,12703
177,140724,12696
178,156492,12690
179,105309,12690
180,123081,12675
181,171442,12669
182,86116,12664
183,64961,12645
184,103865,12643
185,115965,12615
186,83017,12598
187,82337,12596
188,103874,12588
189,289916,12588
190,72830,12582
191,219313,12557
192,56094,12548
193,54589,12547
194,15836,12546
195,96467,12538
196,253396,12536
197,45839,12524
198,124511,12521
199,76323,12503
200,63540,12502
201,104480,12476
202,115740,12472
203,73917,12472
204,68087,12467
205,112045,12461
206,229286,12453
207,232675,12451
208,122466,12447
209,90964,12446
210,158781,12442
211,133512,12442
212,141515,12442
213,75198,12441
214,146838,12439
215,81370,12438
216,64811,12428
217,129453,12423
218,106423,12417
219,60443,12414
220,112706,12402
221,101904,12398
222,83435,12390
223,151363,12389
224,120424,12385
225,146155,12379
226,123068,12350
227,144258,12347
228,118882,12347
229,135912,12344
230,125213,12337
231,158516,12335
232,122107,12332
233,174337,12308
234,48677,12305
235,138470,12301
236,72005,12298
237,122440,12284
238,148727,12273
239,90455,12265
240,56166,12259
241,184419,12251
242,84323,12250
243,24920,12242
244,64541,12230
245,182250,12228
246,121810,12224
247,89410,12221
248,86780,12209
249,134541,12201
250,91998,12201
251,125525,12183
252,142936,12178
253,60561,12173
254,83300,12172
255,90461,12171
256,80098,12171
257,99999,12170
258,161306,12161
259,183485,12154
260,50508,12151
261,91463,12147
262,118376,12145
263,60534,12141
264,190095,12130
265,100369,12116
266,138203,12115
267,104108,12114
268,98592,12110
269,177903,12103
270,152784,12096
271,93335,12086
272,89020,12080
273,45207,12074
274,85809,12070
275,103931,12069
276,51781,12062
277,194127,12058
278,83472,12056
279,105386,12055
280,107809,12042
281,126162,12038
282,65741,12035
283,40607,12033
284,89362,12029
285,148334,12027
286,60584,12025
287,142814,12017
288,114008,12014
289,58987,12012
290,82475,12012
291,42596,12008
292,170476,12008
293,129300,12005
294,85391,12000
295,72700,11999
296,97890,11994
297,129618,11988
298,26293,11987
299,164282,11979
300,95572,11977
301,115635,11970
302,136054,11957
303,118744,11956
304,79196,11942
305,40696,11939
306,115174,11932
307,37582,11917
308,97606,11915
309,79597,11915
310,120475,11912
311,105515,11907
312,105803,11907
313,126825,11898
314,153005,11891
315,106943,11890
316,224565,11890
317,23066,11886
318,292362,11876
319,104282,11873
320,96444,11869
321,328882,11857
322,61149,11854
323,47040,11854
324,99354,11853
325,126321,11852
326,118255,11844
327,155345,11837
328,65115,11834
329,81614,11832
330,83870,11831
331,121113,11830
332,77047,11826
333,81087,11821
334,61729,11817
335,181598,11813
336,116557,11811
337,103872,11808
338,82019,11803
339,109656,11796
340,213786,11795
341,127684,11786
342,163610,11779
343,185457,11772
344,198140,11771
345,142547,11767
346,137961,11763
347,69818,11752
348,79918,11750
349,110549,11742
350,119328,11741
351,81835,11723
352,128310,11721
353,207340,11721
354,107015,11716
355,129641,11708
356,105403,11704
357,127275,11699
358,137010,11696
359,90783,11690
360,95677,11680
361,157947,11679
362,144171,11673
363,147174,11646
364,99530,11646
365,67497,11637
366,73961,11631
367,72187,11620
368,43051,11619
369,54351,11619
370,100061,11619
371,251094,11613
372,114837,11609
373,88229,11606
374,208708,11589
375,90856,11586
376,52714,11584
377,209319,11583
378,217365,11580
379,85018,11575
380,135181,11572
381,85102,11568
382,46366,11566
383,77644,11560
384,94917,11556
385,111421,11554
386,94125,11551
387,69437,11540
388,110191,11539
389,105426,11534
390,89387,11512
391,108908,11503
392,64412,11496
393,146990,11477
394,89108,11475
395,117458,11469
396,115545,11469
397,99974,11455
398,92520,11450
399,71240,11445
400,191979,11433
401,103507,11427
402,72349,11425
403,93705,11422
404,103104,11421
405,69304,11410
406,130513,11407
407,146709,11407
408,109875,11405
409,59114,11401
410,109869,11401
411,99144,11399
412,195166,11389
413,43887,11377
414,137343,11375
415,157218,11371
416,132428,11371
417,99809,11363
418,123381,11362
419,109418,11360
420,147596,11359
421,157876,11349
422,99704,11344
423,64228,11336
424,162906,11335
425,66174,11329
426,81070,11327
427,107540,11326
428,80646,11324
429,109912,11322
430,114710,11320
431,102145,11318
432,150954,11317
433,123432,11311
434,98494,11308
435,63291,11307
436,68673,11306
437,91839,11304
438,96609,11297
439,149532,11293
440,61721,11285
441,41973,11280
442,112955,11278
443,121511,11278
444,61426,11277
445,82034,11274
446,93843,11271
447,85343,11271
448,132102,11267
449,125938,11267
450,87993,11266
451,103144,11266
452,108177,11262
453,90589,11262
454,188443,11260
455,70787,11260
456,113860,11252
457,94401,11250
458,85006,11248
459,155501,11247
460,117245,11246
461,115473,11243
